"","accpt_id","state","county","totbeds","alzunit","profit","hospbase","restrain","acuindex2","avgage","pctchf","pcthyper","agg_female","pctvent_mds3","pctlowcfs","pctmidcfs","pcthighcfs","adj_rehosprate","fup_adj_rehosp"
"43","015100","AL","097",174,"Yes","Yes","No",0.76,13.961,72.29,23.97,81.82,59.94,0,30.58,57.02,12.4,"0.1460",0.209
"45","015103","AL","097",164,"Yes","Yes","No",0,12.354,76.13,17.24,74.14,62.16,0,43.97,39.66,16.38,"0.2051",0.1668
"48","015111","AL","089",145,"No","Yes","No",0,12.588,75.81,26.53,79.59,49.89,0,47,39,14,"0.1895",0.1589
"50","015113","AL","103",183,"Yes","Yes","No",0,11.578,75.6,15.38,81.82,57.69,0,32.17,54.55,13.29,"0.1623",0.1424
"52","015115","AL","127",114,"No","Yes","No",0,13.068,77.86,23.4,65.96,62.63,0,39.58,47.92,12.5,"0.1606",0.1429
"55","015119","AL","047",172,"No","Yes","No",0,12.928,71.21,26.17,86.92,54.55,0,32.08,50.94,16.98,"0.1473",0.1207
"56","015120","AL","015",151,"Yes","Yes","No",0,13.335,82.63,30.09,80.53,66.41,0,36.84,45.61,17.54,"0.1946",0.1575
"57","015121","AL","097",69,"No","Yes","No",4.62,11.783,74.89,23.88,79.1,58.49,0,31.34,49.25,19.4,"0.0533",0.1079
"58","015122","AL","097",151,"No","Yes","No",0,13.731,78.57,21.33,74.67,69.58,0,32.89,47.37,19.74,"0.1435",0.1641
"61","015126","AL","111",123,"Yes","Yes","No",2.06,12.254,83.34,36.47,76.47,64.82,0,32.94,45.88,21.18,"0.1283",0.1148
"63","015128","AL","079",136,"No","Yes","No",0,12.274,79.88,26,76,64.04,0,31,52,17,".",0.1476
"64","015129","AL","053",100,"No","Yes","No",0,12.654,76.95,19.51,85.37,57.83,0,31.71,53.66,14.63,".",0.1881
"66","015132","AL","015",173,"No","Yes","No",0,12.804,75.1,24.59,75.41,56.72,0,28.46,57.72,13.82,".",0.1591
"76","015143","AL","125",182,"No","Yes","No",0,13.748,85.46,11.19,63.64,68.25,0,43.06,49.31,7.64,"0.1873",0.1835
"77","015144","AL","117",198,"No","Yes","No",1.89,13.241,71.84,24.09,81.75,57.14,0,38.57,47.86,13.57,"0.2175",0.1778
"80","015148","AL","095",87,"Yes","Yes","No",0,12.812,83.47,29.41,69.12,54.88,0,24.64,49.28,26.09,".",0.0939
